ticker,sector,year,revenue_m,rev_growth_pct,gross_profit_m,gross_margin_pct,operating_income_m,net_income_m,eps_diluted,operating_cf_m,free_cash_flow_m,capex_m,total_debt_m,stockholders_equity_m,debt_equity,roe_pct,market_cap_m,pe_ratio,dividend_yield_pct
AIG,Financials,2020,47389.0,-0.043,,,,-6.0,-0.01,-394.0,-698.0,304.0,35350.0,65675.0,0.538,-0.0001,29948.53,-3331.2,0.4611
AIG,Financials,2021,49746.0,0.0496999999999999,,,,3348.0,3.74,-1807.0,-2160.0,353.0,37534.0,66362.0,0.566,0.0505,44532.48,13.7,0.2989
AIG,Financials,2022,43736.0,-0.1208,,,,-5944.0,-6.88,1038.0,695.0,343.0,31663.0,65956.0,0.48,-0.0901,50902.52,-8.5,0.2625
AIG,Financials,2023,52157.0,0.1925,,,,10367.0,11.95,6223.0,6013.0,210.0,,65098.0,0.023,0.1593,55326.99,5.4,0.2616
AIG,Financials,2024,29996.0,-0.4249,,,,10227.0,12.94,4134.0,4134.0,,10606.0,45351.0,0.234,0.2255,57692.32,5.4,0.2657
AIG,Financials,2025,26775.0,,,,,3096.0,5.43,3314.0,,,9191.0,41139.0,0.2234,7.5257,,,
AIG,Financials,2026,,,,,,,,,,,,,,,,,0.0721
AIZ,Other,2011,8700.5,,,,,430.57,3.63,269.93,214.04,55.88,,,,,3643.87,8.6,0.2706
AIZ,Other,2012,8527.72,-0.0199,,,,278.61,2.5,540.74,489.53,51.21,,4707.16,,0.0592,3130.47,10.7,0.3622
AIZ,Other,2013,8272.8,-0.0299,,,,538.96,5.51,,,35.75,,4633.14,,0.1163,5333.77,9.5,0.2203
AIZ,Other,2014,8508.27,0.0285,,,,483.7,5.67,,,56.46,,4873.95,,0.0992,4850.2,9.7,0.2322
AIZ,Other,2015,9047.66,0.0634,,,,488.91,6.3,,,52.33,,5185.37,,0.0943,5169.42,10.4,0.2502
AIZ,Other,2016,10381.65,0.1474,,,,470.91,6.44,,,83.6,,4833.48,,0.0974,5578.95,12.1,0.3136
AIZ,Other,2017,10325.5,-0.0054,,,,141.6,2.05,229.9,115.0,114.9,,4098.1,,0.0346,5973.71,42.0,0.2993
AIZ,Other,2018,7531.8,-0.2706,,,,565.4,9.13,108.6,23.4,85.2,1068.2,4270.6,0.25,0.1324,5155.33,8.6,0.3495
AIZ,Other,2019,6415.0,-0.1483,,,,519.6,9.39,530.4,468.3,62.1,2006.0,5112.0,0.392,0.1016,6559.81,12.5,0.2487
AIZ,Other,2020,8057.6,0.2561,,,,251.0,3.98,656.7,573.9,82.8,,5652.8,,0.0444,6521.24,31.3,0.246
AIZ,Other,2021,9569.1,0.1876,,,,382.6,5.84,1413.4,1303.1,110.3,,5951.4,,0.0643,8969.45,24.8,0.2203
AIZ,Other,2022,9597.6,0.003,,,,440.8,6.98,1342.0,1220.8,121.2,,5464.1,,0.0807,7092.4,17.0,0.2779
AIZ,Other,2023,10187.6,0.0615,,,,1361.8,22.66,781.7,594.3,187.4,,4228.7,,0.322,9431.32,7.2,0.208
AIZ,Other,2024,10193.0,0.0005,,,,276.6,5.05,596.9,410.6,186.3,,5464.1,,0.0506,11619.05,41.3,0.1704
